chr_start	GSM5956324	GSM5956325	GSM5956326	GSM5956336	GSM5956337	GSM5956338
chr9_38682307	0.0	0.0	0.0	0.0	0.0	0.0
chr9_38682612	0.0	0.0	0.0	0.0	2.0	0.0
chr9_62865498	0.0	0.0	0.0	0.0	6.0	0.0
chr9_81979684	0.0	0.0	0.0	0.0	4.0	0.0
chr9_86600051	0.0	0.0	0.0	0.0	0.0	0.0
chr9_86939561	0.0	0.0	0.0	2.0	0.0	0.0
chr9_88184730	0.0	0.0	0.0	0.0	2.0	0.0
chr9_110051421	0.0	0.0	0.0	6.0	4.0	2.0
chr9_117769120	0.0	0.0	0.0	0.0	0.0	3.0
chr9_118959783	0.0	0.0	0.0	0.0	5.0	0.0
chr9_121400038	0.0	0.0	0.0	0.0	2.0	0.0
chr9_125745944	0.0	0.0	0.0	0.0	0.0	0.0
chr9_131418803	0.0	0.0	0.0	6.0	0.0	0.0
chr10_14204769	0.0	0.0	0.0	0.0	0.0	0.0
chr10_20659875	0.0	0.0	0.0	2.0	0.0	0.0
chr10_24128405	0.0	0.0	0.0	0.0	6.0	0.0
chr10_27912005	0.0	0.0	0.0	4.0	0.0	0.0
chr10_29618102	0.0	0.0	0.0	0.0	2.0	0.0
chr10_31664687	0.0	0.0	0.0	0.0	4.0	0.0
chr10_46516967	0.0	0.0	0.0	0.0	4.0	0.0
chr10_92407821	0.0	0.0	0.0	0.0	0.0	2.0
chr10_101292901	0.0	0.0	0.0	4.0	0.0	0.0
chr10_102263479	0.0	0.0	0.0	0.0	2.0	0.0
chr10_112827138	0.0	0.0	0.0	0.0	6.0	0.0
chr10_113048509	0.0	0.0	0.0	0.0	2.0	0.0
chr11_9569277	0.0	0.0	0.0	8.0	0.0	2.0
chr11_17650416	0.0	0.0	0.0	0.0	0.0	0.0
chr11_19185375	0.0	0.0	0.0	2.0	0.0	0.0
chr11_20158902	0.0	0.0	0.0	0.0	0.0	0.0
chr11_20249638	0.0	0.0	0.0	0.0	0.0	0.0
chr11_20276110	0.0	0.0	0.0	0.0	2.0	0.0
chr11_20310681	0.0	0.0	0.0	0.0	0.0	0.0
chr11_21969582	0.0	0.0	0.0	0.0	0.0	4.0
chr11_23263883	0.0	0.0	0.0	0.0	2.0	0.0
chr11_28400600	0.0	0.0	0.0	0.0	0.0	0.0
chr11_37505795	0.0	0.0	0.0	0.0	0.0	4.0
chr11_60205011	0.0	0.0	0.0	0.0	2.0	0.0
chr11_85780356	0.0	0.0	0.0	2.0	0.0	0.0
chr11_85811430	0.0	0.0	0.0	0.0	2.0	0.0
chr11_85815485	0.0	0.0	0.0	2.0	8.0	2.0
chr11_120400584	0.0	0.0	0.0	0.0	2.0	0.0
chr12_591820	0.0	0.0	0.0	0.0	0.0	0.0
chr12_1475606	0.0	0.0	0.0	0.0	2.0	0.0
chr12_5380133	0.0	0.0	0.0	6.0	10.0	4.0
chr12_5380148	0.0	0.0	0.0	6.0	8.0	4.0
chr12_13358220	0.0	0.0	0.0	0.0	0.0	0.0
chr12_16973551	0.0	0.0	0.0	0.0	0.0	0.0
chr12_46160305	0.0	0.0	0.0	0.0	2.0	0.0
chr12_57240190	0.0	0.0	0.0	0.0	0.0	0.0
chr12_57752385	0.0	0.0	0.0	0.0	0.0	0.0
chr12_57869043	0.0	0.0	0.0	4.0	0.0	0.0
chr12_57869088	0.0	0.0	0.0	0.0	2.0	4.0
chr12_58310842	0.0	0.0	0.0	0.0	0.0	0.0
chr12_58311335	0.0	0.0	0.0	2.0	0.0	2.0
chr12_58346544	0.0	0.0	0.0	0.0	0.0	4.0
chr12_58346648	0.0	0.0	0.0	0.0	0.0	0.0
chr12_66241014	0.0	0.0	0.0	0.0	0.0	4.0
chr12_68290035	0.0	0.0	0.0	0.0	0.0	2.0
chr12_75011589	0.0	0.0	0.0	0.0	2.0	0.0
chr12_85413178	0.0	0.0	0.0	0.0	0.0	2.0
chr13_17418348	0.0	0.0	0.0	0.0	4.0	0.0
chr13_20567413	0.0	0.0	0.0	2.0	0.0	4.0
chr13_31008779	0.0	0.0	0.0	0.0	4.0	0.0
chr13_33138239	0.0	0.0	0.0	0.0	0.0	0.0
chr13_39530971	0.0	0.0	0.0	0.0	2.0	0.0
chr13_39768725	0.0	0.0	0.0	0.0	2.0	0.0
chr13_43348439	0.0	0.0	0.0	4.0	2.0	2.0
chr13_48818887	0.0	0.0	0.0	0.0	2.0	0.0
chr13_110320645	0.0	0.0	0.0	0.0	0.0	2.0
chr14_48455466	0.0	0.0	0.0	2.0	0.0	0.0
chr14_48936781	0.0	0.0	0.0	0.0	2.0	4.0
chr14_53551203	0.0	0.0	0.0	0.0	0.0	4.0
chr14_53925146	0.0	0.0	0.0	0.0	0.0	2.0
chr14_68138117	0.0	0.0	0.0	0.0	2.0	0.0
chr14_68815102	0.0	0.0	0.0	0.0	2.0	0.0
chr14_72500260	0.0	0.0	0.0	0.0	0.0	2.0
chr14_95121751	0.0	0.0	0.0	0.0	0.0	0.0
chr15_57652142	0.0	0.0	0.0	0.0	0.0	2.0
chr15_58492992	0.0	0.0	0.0	0.0	3.0	0.0
chr15_59449402	0.0	0.0	0.0	0.0	0.0	0.0
chr15_76566142	0.0	0.0	0.0	0.0	4.0	0.0
chr15_78023855	0.0	0.0	0.0	2.0	0.0	0.0
chr15_84550525	0.0	0.0	0.0	0.0	4.0	0.0
chr15_85094404	0.0	0.0	0.0	0.0	0.0	2.0
chr15_101440790	0.0	0.0	0.0	0.0	4.0	0.0
chr16_4957875	0.0	0.0	0.0	0.0	4.0	0.0
chr16_52466429	0.0	0.0	0.0	0.0	0.0	2.0
chr16_65312670	0.0	0.0	0.0	0.0	0.0	4.0
chr16_66131852	0.0	0.0	0.0	0.0	0.0	0.0
chr16_89135439	0.0	0.0	0.0	0.0	0.0	2.0
chr16_89343853	0.0	0.0	0.0	0.0	4.0	0.0
chr16_89543002	0.0	0.0	0.0	0.0	0.0	0.0
chr17_14465314	0.0	0.0	0.0	2.0	0.0	0.0
chr17_15959194	0.0	0.0	0.0	4.0	4.0	0.0
chr17_16215811	0.0	0.0	0.0	0.0	0.0	0.0
chr17_18070785	0.0	0.0	0.0	2.0	2.0	2.0
chr17_18071339	0.0	0.0	0.0	0.0	4.0	0.0
chr17_18183568	0.0	0.0	0.0	0.0	0.0	0.0
chr17_20538488	0.0	0.0	0.0	4.0	0.0	0.0
chr17_56602691	0.0	0.0	0.0	0.0	2.0	0.0
chr17_67339768	0.0	0.0	0.0	0.0	0.0	2.0
chr17_77332967	0.0	0.0	0.0	2.0	0.0	0.0
chr18_1017599	0.0	0.0	0.0	4.0	0.0	0.0
chr18_2331629	0.0	0.0	0.0	2.0	0.0	2.0
chr19_11346059	0.0	0.0	0.0	0.0	0.0	2.0
chr19_30648637	0.0	0.0	0.0	0.0	0.0	0.0
chr19_32330778	0.0	0.0	0.0	4.0	0.0	0.0
chr20_28824212	0.0	0.0	0.0	0.0	0.0	0.0
chr20_29120342	0.0	0.0	0.0	0.0	0.0	0.0
chr20_37880733	0.0	0.0	0.0	0.0	4.0	0.0
chr20_47309092	0.0	0.0	0.0	2.0	0.0	2.0
chr20_47382829	0.0	0.0	0.0	0.0	0.0	0.0
chr20_51349284	0.0	0.0	0.0	4.0	0.0	0.0
chr20_52567395	0.0	0.0	0.0	4.0	0.0	0.0
chr20_53736091	0.0	0.0	0.0	0.0	2.0	0.0
chr20_58072556	0.0	0.0	0.0	0.0	4.0	0.0
chr20_59532885	0.0	0.0	0.0	0.0	3.0	0.0
chr20_63626184	0.0	0.0	0.0	2.0	2.0	0.0
chr21_26007617	0.0	0.0	0.0	0.0	0.0	0.0
chr21_26390792	0.0	0.0	0.0	0.0	0.0	0.0
chr21_26856821	0.0	0.0	0.0	0.0	4.0	0.0
chr21_28208288	0.0	0.0	0.0	0.0	2.0	0.0
chr21_33761618	0.0	0.0	0.0	0.0	4.0	0.0
chr21_43516795	0.0	0.0	0.0	0.0	2.0	0.0
chr22_34866778	0.0	0.0	0.0	0.0	2.0	0.0
chr22_40651857	0.0	0.0	0.0	0.0	2.0	0.0
chrX_3167123	0.0	0.0	0.0	0.0	2.0	0.0
chrX_3577608	0.0	0.0	0.0	0.0	4.0	0.0
chrX_13387074	0.0	0.0	0.0	0.0	0.0	0.0
chrX_38061219	0.0	0.0	0.0	0.0	2.0	0.0
chrX_57402815	0.0	0.0	0.0	0.0	0.0	2.0
